query_id,query,intent_id
1,你好,chat
2,嗨,chat
3,在吗,chat
4,聊聊天,chat
5,今天怎么样,chat
6,讲个笑话,chat
7,陪我说说话,chat
8,唱一首歌,sing
9,来首歌,sing
10,放首歌,sing
11,给我唱一首,sing
12,听歌,sing
13,唱 One Last Time,sing
14,播放 Ariana,sing
15,想听歌,sing
16,提醒我明天开会,reminder
17,设个闹钟,reminder
18,下午三点提醒我,reminder
19,帮我定个日程,reminder
20,叫我起床,reminder
21,明天九点提醒我交报告,reminder
22,唱完提醒我开会,sing
23,唱首歌然后提醒我吃药,reminder
24,每天早上9：30提醒我股票开盘了,reminder
25,中午提醒我回去拿东西,reminder
26,放点音乐吧,sing
27,我要听歌,sing
28,唱歌给我听,sing
29,想听你唱歌,sing
30,有什么好听的推荐吗,sing
31,放一首安静的,sing
32,播首英文歌,sing
33,下一首,sing
34,来个纯音乐,sing
35,音乐放起来,sing
36,放首轻音乐,sing
37,唱个儿歌,sing
38,我要听周杰伦,sing
39,放点 BGM,sing
40,随便放首歌,sing
41,半小时后叫我,reminder
42,二十分钟后喊我,reminder
43,明天七点叫我起床,reminder
44,记得提醒我吃药,reminder
45,别让我忘了取快递,reminder
46,每周一提醒我开周会,reminder
47,后天下午提醒我看牙医,reminder
48,设个五分钟倒计时,reminder
49,到点了喊我一下,reminder
50,晚上八点提醒我追剧,reminder
51,帮我定个明早的闹钟,reminder
52,每天中午提醒我喝水,reminder
53,一小时后提醒我关火,reminder
54,帮我记着周五要交房租,reminder
55,提醒我下班前发邮件,reminder
56,我下周要出差,chat
57,明天还得早起,chat
58,今天下午没什么事,chat
59,晚上八点我才下班,chat
60,后天就放假了,chat
61,早上人好多,chat
62,这周过得好快,chat
63,昨天忙到很晚,chat
64,我不想去,chat
65,我懒得动,chat
66,算了不弄了,chat
67,我不太想聊这个,chat
68,先不说这个了,chat
69,心里有点堵,chat
70,最近压力好大,chat
71,我有点难过,chat
72,我好开心,chat
73,烦死了,chat
74,今天心情不错,chat
75,有点焦虑,chat
76,昨晚没睡好,chat
77,我头有点疼,chat
78,好困啊,chat
79,我饿了,chat
80,腰酸背疼的,chat
81,晚饭吃什么好,chat
82,我想喝奶茶,chat
83,中午随便吃了点,chat
84,今天好热,chat
85,风好大,chat
86,外面天黑了,chat
87,你在干嘛,chat
88,你是谁呀,chat
89,你都会点啥,chat
90,你陪陪我,chat
91,你怎么不说话,chat
92,你好可爱,chat
93,你笨死了,chat
94,谢谢你,chat
95,你还在吗,chat
96,加班到现在,chat
97,报告还没写完,chat
98,老板又找我,chat
99,开完会好累,chat
100,工作好难做,chat
101,我朋友生气了,chat
102,跟我妈吵架了,chat
103,同事不太好相处,chat
104,讲点好玩的,chat
105,随便说说,chat
106,没什么事,chat
107,就是想说说话,chat
108,这个电视剧好看,chat
109,电影有点无聊,chat
110,这游戏太难了,chat
111,书看不下去,chat
112,不想动脑子,chat
113,我说了不用,chat
114,你别管我,chat
115,今天不太顺,chat
116,好想放假,chat
